instance,solver,n_fragments,n_selected,max_duration,duration_used,duration_utilization,fragment_coverage,duration_coverage,solver_score,mean_relevance,mean_coherence,objective_score,summary_llm_score,summary_llm_relevance,summary_llm_coherence,selected_indices
dur_5min.json,baseline_beam,12.0,3.0,79.24,76.16,0.96113074204947,0.25,0.2402826855123675,3.2135000000000002,0.8000000000000002,0.8500000000000001,2.2250000000000005,,,,"[7, 8, 9]"
dur_5min.json,llm_beam,12.0,3.0,79.24,78.44,0.9899040888440183,0.25,0.24747602221100456,2.85,0.8000000000000002,0.9,2.2500000000000004,0.75,0.8,0.7,"[8, 9, 10]"
